preset,night_mode,seed,k,diversity_at_10,max_topic_streak,max_creator_streak,prosocial_ratio,runtime_sec,runtime_sec_per_100,pass_diversity,pass_topic_streak,pass_creator_streak,pass_prosocial,pass_runtime,overall_pass,overlap_ratio_top10,overlap_ratio_topk
entertainment,False,0,100,8,2,1,0.25,0.07317845895886421,0.07317845895886421,True,True,True,True,True,True,0.6,0.93
baseline,False,0,100,5,3,2,0.21,0.0002733329311013222,0.0002733329311013222,True,False,True,False,True,False,1.0,1.0
entertainment,True,0,15,8,1,1,0.6,0.012813790934160352,0.08542527289440235,True,True,True,True,True,True,0.6,0.5333333333333333
baseline,True,0,15,5,2,1,0.13333333333333333,0.00013612513430416584,0.0009075008953611057,True,True,True,False,True,False,1.0,1.0
inspiration,False,0,100,9,2,1,0.25,0.07120041688904166,0.07120041688904166,True,True,True,True,True,True,0.4,0.92
baseline,False,0,100,5,3,2,0.21,0.00013679219409823418,0.00013679219409823418,True,False,True,False,True,False,1.0,1.0
inspiration,True,0,15,9,1,1,0.7333333333333333,0.013249458046630025,0.08832972031086683,True,True,True,True,True,True,0.4,0.3333333333333333
baseline,True,0,15,5,2,1,0.13333333333333333,0.00013929186388850212,0.0009286124259233475,True,True,True,False,True,False,1.0,1.0
learning,False,0,100,9,2,1,0.25,0.07407583296298981,0.07407583296298981,True,True,True,True,True,True,0.3,0.92
baseline,False,0,100,5,3,2,0.21,0.00011933408677577972,0.00011933408677577972,True,False,True,False,True,False,1.0,1.0
learning,True,0,15,9,2,1,0.9333333333333333,0.011896457988768816,0.07930971992512545,True,True,True,True,True,True,0.3,0.2
baseline,True,0,15,5,2,1,0.13333333333333333,0.00010491698049008846,0.0006994465366005898,True,True,True,False,True,False,1.0,1.0
entertainment,False,1,100,8,2,1,0.25,0.07156258309260011,0.07156258309260011,True,True,True,True,True,True,0.6,0.93
baseline,False,1,100,5,3,2,0.21,0.00011154217645525932,0.00011154217645525932,True,False,True,False,True,False,1.0,1.0
entertainment,True,1,15,8,1,1,0.6,0.013218458043411374,0.0881230536227425,True,True,True,True,True,True,0.6,0.5333333333333333
baseline,True,1,15,5,2,1,0.13333333333333333,0.00014825002290308475,0.000988333486020565,True,True,True,False,True,False,1.0,1.0
inspiration,False,1,100,9,2,1,0.25,0.07199862506240606,0.07199862506240606,True,True,True,True,True,True,0.4,0.92
baseline,False,1,100,5,3,2,0.21,0.00012120790779590607,0.00012120790779590607,True,False,True,False,True,False,1.0,1.0
inspiration,True,1,15,9,1,1,0.7333333333333333,0.012058540945872664,0.08039027297248444,True,True,True,True,True,True,0.4,0.3333333333333333
baseline,True,1,15,5,2,1,0.13333333333333333,0.00010166713036596775,0.0006777808691064517,True,True,True,False,True,False,1.0,1.0
learning,False,1,100,9,2,1,0.25,0.07590591604821384,0.07590591604821384,True,True,True,True,True,True,0.3,0.92
baseline,False,1,100,5,3,2,0.21,0.00013679196126759052,0.00013679196126759052,True,False,True,False,True,False,1.0,1.0
learning,True,1,15,9,2,1,0.9333333333333333,0.013238541083410382,0.08825694055606922,True,True,True,True,True,True,0.3,0.2
baseline,True,1,15,5,2,1,0.13333333333333333,0.00012387498281896114,0.0008258332187930744,True,True,True,False,True,False,1.0,1.0
entertainment,False,2,100,8,2,1,0.25,0.07113616680726409,0.07113616680726409,True,True,True,True,True,True,0.6,0.93
