video_id,title,channel,published_at,view_count,duration_sec,topic,tone,prosocial,risk
RLP2T7uZUUk,Scaring kids on YouTube shorts @tyler.vitelli,Nick Wilkins,2025-10-11T22:43:55Z,29001047,33.0,,,0,0
sLEy5-l7WVY,Wait for it…. #shortvideo #relatable #love #couple #hair #shorts #short,Brooke Monk,2023-12-13T22:10:36Z,42197518,12.0,,,0,0
SYCZjvKqeZ4,Christmas Matching Challenge With My Wife!!!🎄 #challenge #christmas #couples #shorts ￼,The CAN Family,2025-12-24T12:01:04Z,788278,53.0,,,0,0
YBqzclR5RKU,How did I guess! @ryder_smith4 #shortsfeed #lipsyncs #funny #relatemuch #fyp #shorts #couple #viral,Alli Ingram,2025-12-24T00:29:36Z,189302,13.0,,,0,0
XBDFfu7CGF4,Perks of being in the front row #shorts,Alex Sampson,2025-09-13T16:45:36Z,9618842,24.0,,,0,0
mlMuBd2Pd7A,"01🧚‍♀️Street qphotography, beautiful girls 👗👙👠 clothing, dress up #shorts",liuxiaoyi,2025-01-12T03:06:34Z,21640771,9.0,,,0,0
aU5MtRCSG9o,Rumi's Eyeliner looks like Gwi-ma 😱 | Kpop Demon Hunters #shorts #kpopdemonhunters,Shorts Voltz,2025-09-07T16:00:09Z,53770373,9.0,,,0,0
FC-0QDx3M-U,Are you smarter than a 5th grader? #viral #shorts,KFoltyn,2024-01-09T00:39:57Z,10354150,33.0,,,0,0
D-DxZYpmVR0,My Sibling's On The Naughty List #shorts,Shooteo,2025-12-25T01:00:13Z,190319,34.0,,,0,0
XyCcAutpSJE,Aggressive ASMR #shorts #asmrsleep,Mildreamy ASMR,2025-09-06T10:11:00Z,26603555,21.0,,,0,0
0elKiZ9C7jY,This trend is so fun #jonathanjoly #shorts,Jonathan Joly,2025-12-24T19:53:57Z,697595,14.0,,,0,0
WE9G0HGMvnw,Which Girl Will He Pick? 👀♥️ #Shorts #Relationship #Trending,Brat TV,2025-09-09T19:00:27Z,8546202,49.0,,,0,0
yN6X3OYW3e8,Speedrunning YT Shorts #232 (I AM BACK),Joe Caine,2025-09-03T22:15:04Z,14660000,46.0,,,0,0
OMOF6l8Radk,Making the PERFECT movie night 🍿 #shorts,Jezelle Catherine,2025-08-26T15:10:37Z,4719490,53.0,,,0,0
MQKeMOJOcEM,#cutebaby #youtubeshorts #shorts #ytshorts #shots #shortsfeed #shortvideo #yt,DIPSA & FAMILY ,2025-08-07T09:00:38Z,69472338,7.0,,,0,0
4A0CpDdnl2o,When practice finally pays off! 😀 (4k memes) #shorts,Rico Animations,2025-08-01T14:09:22Z,1887611,26.0,,,0,0
T29SgC1-lao,The best 67 moment ! #shorts #trending,Hooded laughs,2025-10-09T17:00:43Z,98821992,34.0,,,0,0
O5aNHRJhpMU,YOU WILL NOT BELIVE WHAT MY BF MADE FOR ME😨 #shorts,Isaac & Andrea,2024-08-13T13:00:22Z,4661691,60.0,,,0,0
HbXnQgwYYBw,Middle child has had enough😈🤣#funnyshorts #comedy #shorts,EddieM.,2025-01-21T16:54:49Z,6533506,55.0,,,0,0
sQsC-ix8LEw,Memes Recreated 67 Kid 🔥 Then vs Now,Ruby,2025-10-27T12:15:08Z,30480375,34.0,,,0,0
wKNEWowlInw,The hair is FRYING ME 🤣😭 @b@brodybolingfypシ #shorts #trend #relatable #justjules #skit #viral,JUSTJULES💖,2025-12-23T22:47:04Z,1602914,9.0,,,0,0
IXx-lvDK2fo,You have thing called FINGER 💅🏽 #fyp #viral #shorts #funny #relatable #school #trending,INAFISH,2025-07-09T12:10:25Z,24546794,9.0,,,0,0
